mass,v_y,Eloss
1.000000000000000082e-05,-1.000000000000000056e-01,7.584779645923149190e-11
1.000000000000000082e-05,-1.000000000000000056e-01,7.584779645923149190e-11
1.000000000000000082e-05,-2.000000000000000000e+03,4.232755535621635090e-02
1.000000000000000082e-05,-2.000000000000000000e+03,4.232755535621635090e-02
